#Query (assembly 1) 	 Query (assembly 2)	 Gene name (assembly 2)	UniProt ID (assembly 2)	EC number (assembly 2)
A01p00020.1_BnaDARv10-PA	CDY61895.1	BnaAnng17970D	A0A078JBT0	
C07p40080.1_BnaDARv10-PA	CDY48670.1	BnaC07g27390D	A0A078ICQ1	
C07p40100.1_BnaDARv10-PA	CDY48668.1	BnaC07g27410D	A0A078DAZ5	
C07p40110.1_BnaDARv10-PA	CDY48667.1	BnaC07g27420D	A0A078IF83	
C07p40130.1_BnaDARv10-PA	CDY48665.1	BnaC07g27440D	A0A078ICP7	
C07p40140.1_BnaDARv10-PA	CDY48664.1	BnaC07g27450D	A0A078IGY9	
C07p40160.1_BnaDARv10-PA	CDY48661.1	BnaC07g27480D	A0A078IF78	
C07p40180.1_BnaDARv10-PA	CDY48658.1	BnaC07g27510D	A0A078IHR2	
C07p40190.1_BnaDARv10-PA	CDY48657.1	BnaC07g27520D	A0A078IF73	
C07p40210.1_BnaDARv10-PA	CDY48655.1	BnaC07g27540D	A0A078ICN8	
C07p40260.1_BnaDARv10-PA	CDY48652.1	BnaC07g27570D	A0A078IF71	
C07p40270.1_BnaDARv10-PA	CDY48651.1	BnaC07g27580D	A0A078IF72	
C07p40280.1_BnaDARv10-PA	CDY48650.1	BnaC07g27590D	A0A078ICN4	
C07p40320.1_BnaDARv10-PA	CDY52477.1	BnaC07g49380D	A0A078IRA0	
C07p40330.1_BnaDARv10-PA	CDY52478.1	BnaC07g49390D	A0A078ITV7	
C07p40340.1_BnaDARv10-PA	CDY52479.1	BnaC07g49400D	A0A078ISQ1	
C07p40360.1_BnaDARv10-PA	CDY52482.1	BnaC07g49430D	A0A078IRA5	
C07p40380.1_BnaDARv10-PA	CDY52484.1	BnaC07g49450D	A0A078ISQ8	2.7.7.50
C07p40390.1_BnaDARv10-PA	CDY52485.1	BnaC07g49460D	A0A078IN31	
C07p40580.1_BnaDARv10-PA	CDY16687.1	BnaA09g20650D	A0A078FV66	
C07p40630.1_BnaDARv10-PA	CDY30161.1	BnaC05g37010D	A0A078GXC8	
C07p40640.1_BnaDARv10-PA	CDY63286.1	BnaC07g49480D	A0A078JB92	
C07p40840.1_BnaDARv10-PA	CDY70098.1	BnaCnng66690D	A0A078JR79	
C07p41000.1_BnaDARv10-PA	CDY71800.1	BnaUnng04600D	A0A078JZM4	
C07p41160.1_BnaDARv10-PA	CDY25019.1	BnaC02g39890D	A0A078GIE4	3.1.3.16
C07p41180.1_BnaDARv10-PA	CDY66802.1	BnaAnng22980D	A0A078JN86	
C07p41190.1_BnaDARv10-PA	CDY28320.1	BnaC03g66390D	A0A078GP22	
C07p41220.1_BnaDARv10-PA	CDY68790.1	BnaAnng28400D	A0A078JQU8	
C07p41250.1_BnaDARv10-PA	CDY71323.1	BnaUnng04310D	A0A078JUV1	
C07p41500.1_BnaDARv10-PA	CDY19757.1	BnaA09g04100D	A0A078G420	2.7.11.1
C07p41550.1_BnaDARv10-PA	CDY25001.1	BnaC02g40070D	A0A078GI00	
C07p41610.1_BnaDARv10-PA	CDY68463.1	BnaA06g39520D	A0A078JLS6	3.1.1.-
C07p41620.1_BnaDARv10-PA	CDY61119.1	BnaA06g39510D	A0A078JAB6	3.1.-.-
C07p41640.1_BnaDARv10-PA	CDY61117.1	BnaA06g39490D	A0A078J7M3	
C07p41670.1_BnaDARv10-PA	CDY61111.1	BnaA06g39440D	A0A078J7M0	
C07p41680.1_BnaDARv10-PA	CDY61110.1	BnaA06g39430D	A0A078J4I8	
C07p41690.1_BnaDARv10-PA	CDY61108.1	BnaA06g39420D	A0A078JAT9	3.6.4.13
C07p41710.1_BnaDARv10-PA	CDY65143.1	BnaC02g48410D	A0A078JBX4	2.7.4.14
C07p41730.1_BnaDARv10-PA	CDY67102.1	BnaA06g39540D	A0A078JNZ4	
C07p41750.1_BnaDARv10-PA	CDY67101.1	BnaA06g39530D	A0A078JMU3	
C07p41770.1_BnaDARv10-PA	CDY67361.1	BnaC07g49620D	A0A078JNS2	
C07p41780.1_BnaDARv10-PA	CDY52634.1	BnaC07g49600D	A0A078IT84	
C07p41790.1_BnaDARv10-PA	CDY52633.1	BnaC07g49590D	A0A078IUE5	
C07p41800.1_BnaDARv10-PA	CDY52632.1	BnaC07g49580D	A0A078IRN3	
C07p41810.1_BnaDARv10-PA	CDY52631.1	BnaC07g49570D	A0A078IRZ7	
C07p41830.1_BnaDARv10-PA	CDY52629.1	BnaC07g49550D	A0A078IT79	
C07p41840.1_BnaDARv10-PA	CDY52628.1	BnaC07g49540D	A0A078IUD9	
C07p41850.1_BnaDARv10-PA	CDY52627.1	BnaC07g49530D	A0A078IRM8	
C07p41860.1_BnaDARv10-PA	CDY52626.1	BnaC07g49520D	A0A078IRZ2	
C07p41870.1_BnaDARv10-PA	CDY52625.1	BnaC07g49510D	A0A078INJ1	2.7.11.1
C07p41910.1_BnaDARv10-PA	CDY72231.1	BnaAnng40370D	A0A078K333	
C07p42090.1_BnaDARv10-PA	CDY47679.1	BnaC04g03800D	A0A078IE78	
C07p42180.1_BnaDARv10-PA	CDY39755.1	BnaA04g10980D	A0A078HMJ8	
C07p42220.1_BnaDARv10-PA	CDY62422.1	BnaA06g39380D	A0A078JAH3	1.-.-.-
C07p42230.1_BnaDARv10-PA	CDY62417.1	BnaA06g39340D	A0A078JCL4	
C07p42420.1_BnaDARv10-PA	CDY19801.1	BnaA09g04540D	A0A078G380	
C07p42670.1_BnaDARv10-PA	CDY70100.1	BnaCnng66710D	A0A078JUG9	
C07p42700.1_BnaDARv10-PA	CDY66349.1	BnaCnng50450D	A0A078JI50	
C07p42850.1_BnaDARv10-PA	CDY71155.1	BnaCnng71590D	A0A078JXI9	
C07p42860.1_BnaDARv10-PA	CDY55466.1	BnaCnng28900D	A0A078J145	
C07p42870.1_BnaDARv10-PA	CDY55465.1	BnaCnng28890D	A0A078IYP5	
C07p42890.1_BnaDARv10-PA	CDY55462.1	BnaCnng28870D	A0A078IVG1	
C07p42900.1_BnaDARv10-PA	CDY68658.1	BnaCnng59990D	A0A078JMC1	2.3.2.27
C07p43020.1_BnaDARv10-PA	CDY70615.1	BnaCnng69050D	A0A078JVX5	
C07p43060.1_BnaDARv10-PA	CDY69515.1	BnaAnng30680D	A0A078JSW9	
C07p43260.1_BnaDARv10-PA	CDY66679.1	BnaA06g39290D	A0A078JIY0	3.1.1.31
C07p43280.1_BnaDARv10-PA	CDY66680.1	BnaA06g39300D	A0A078JJR0	3.1.1.31
C07p43300.1_BnaDARv10-PA	CDY66681.1	BnaA06g39310D	A0A078JLJ9	
C07p43310.1_BnaDARv10-PA	CDY68808.1	BnaCnng60630D	A0A078JMT8	
C07p43320.1_BnaDARv10-PA	CDY66092.1	BnaC07g49670D	A0A078JL39	3.1.1.31
C07p43340.1_BnaDARv10-PA	CDY66090.1	BnaC07g49650D	A0A078JHU8	
C07p43820.1_BnaDARv10-PA	CDY38073.1	BnaC03g75120D	A0A078DAQ0	
C07p44020.1_BnaDARv10-PA	CDY70647.1	BnaCnng69180D	A0A078JYA2	
C07p44030.1_BnaDARv10-PA	CDY59031.1	BnaCnng34160D	A0A078DFM4	
C07p44040.1_BnaDARv10-PA	CDY16857.1	BnaA09g05250D	A0A078DFR1	
C07p44050.1_BnaDARv10-PA	CDY16856.1	BnaA09g05260D	A0A078CT87	
C07p44190.1_BnaDARv10-PA	CDY57254.1	BnaC08g47580D	A0A078J202	
C07p44210.1_BnaDARv10-PA	CDY45766.1	BnaC02g42160D	A0A078I7B6	
C07p44220.1_BnaDARv10-PA	CDY45765.1	BnaC02g42170D	A0A078I4H6	
C07p44230.1_BnaDARv10-PA	CDY45764.1	BnaC02g42180D	A0A078I8N6	
C07p44250.1_BnaDARv10-PA	CDY45763.1	BnaC02g42190D	A0A078I9F4	1.15.1.1
C07p44260.1_BnaDARv10-PA	CDY45762.1	BnaC02g42200D	A0A078I6K6	1.3.5.2
C07p44270.1_BnaDARv10-PA	CDY45761.1	BnaC02g42210D	A0A078I7B3	
C07p44280.1_BnaDARv10-PA	CDY45760.1	BnaC02g42220D	A0A078I4H3	
C07p44290.1_BnaDARv10-PA	CDY45759.1	BnaC02g42230D	A0A078I8M7	
C07p44330.1_BnaDARv10-PA	CDY61908.1	BnaC07g49680D	A0A078J9U4	6.2.1.5
C07p44340.1_BnaDARv10-PA	CDY61909.1	BnaC07g49690D	A0A078JBU2	
C07p44350.1_BnaDARv10-PA	CDY61910.1	BnaC07g49700D	A0A078JCA5	
C07p44360.1_BnaDARv10-PA	CDY61911.1	BnaC07g49710D	A0A078J632	
C07p44370.1_BnaDARv10-PA	CDY61912.1	BnaC07g49720D	A0A078J8Y1	
C07p44380.1_BnaDARv10-PA	CDY61913.1	BnaC07g49730D	A0A078J9V0	
C07p44390.1_BnaDARv10-PA	CDY61915.1	BnaC07g49740D	A0A078JBU9	3.4.21.92
C07p44400.1_BnaDARv10-PA	CDY61916.1	BnaC07g49750D	A0A078JCA8	
C07p44410.1_BnaDARv10-PA	CDY61917.1	BnaC07g49760D	A0A078J638	
C07p44440.1_BnaDARv10-PA	CDY66471.1	BnaC07g49860D	A0A078JL00	
C07p44450.1_BnaDARv10-PA	CDY67704.1	BnaCnng56020D	A0A078JLL7	
C07p44460.1_BnaDARv10-PA	CDY67705.1	BnaCnng56030D	A0A078JMM5	2.7.1.21
C07p44490.1_BnaDARv10-PA	CDY62677.1	BnaCnng40790D	A0A078JAA1	
C07p44500.1_BnaDARv10-PA	CDY62678.1	BnaCnng40800D	A0A078JAT8	
C07p44540.1_BnaDARv10-PA	CDY66988.1	BnaAnng23360D	A0A078JHA1	
C07p44550.1_BnaDARv10-PA	CDY51627.1	BnaCnng21190D	A0A078INW3	
C07p44570.1_BnaDARv10-PA	CDY51627.1	BnaCnng21190D	A0A078INW3	
C07p44580.1_BnaDARv10-PA	CDY51628.1	BnaCnng21200D	A0A078IRA3	
C07p44590.1_BnaDARv10-PA	CDY51629.1	BnaCnng21210D	A0A078IQG5	
C07p44600.1_BnaDARv10-PA	CDY51630.1	BnaCnng21220D	A0A078IKQ7	
C07p44630.1_BnaDARv10-PA	CDY51633.1	BnaCnng21250D	A0A078IRA8	
C07p44640.1_BnaDARv10-PA	CDY51634.1	BnaCnng21260D	A0A078IQG9	
C07p44660.1_BnaDARv10-PA	CDY51635.1	BnaCnng21270D	A0A078IKR1	
C07p44690.1_BnaDARv10-PA	CDY58688.1	BnaC07g49780D	A0A078J694	
C07p44710.1_BnaDARv10-PA	CDY58692.1	BnaC07g49810D	A0A078J473	
C07p44720.1_BnaDARv10-PA	CDY58694.1	BnaC07g49820D	A0A078J444	
C07p44740.1_BnaDARv10-PA	CDY58696.1	BnaC07g49840D	A0A078J6M4	
C07p44750.1_BnaDARv10-PA	CDY23092.1	BnaC07g30950D	A0A078GDJ7	
C07p44770.1_BnaDARv10-PA	CDY23090.1	BnaC07g30970D	A0A078G9J0	
C07p44780.1_BnaDARv10-PA	CDY23089.1	BnaC07g30980D	A0A078GCP6	
C07p44790.1_BnaDARv10-PA	CDY23088.1	BnaC07g30990D	A0A078GEQ3	
C07p44800.1_BnaDARv10-PA	CDY23087.1	BnaC07g31000D	A0A078GDJ2	
C07p44820.1_BnaDARv10-PA	CDY23085.1	BnaC07g31020D	A0A078G9I6	
C07p44830.1_BnaDARv10-PA	CDY23084.1	BnaC07g31030D	A0A078GCP2	
C07p44850.1_BnaDARv10-PA	CDY23082.1	BnaC07g31050D	A0A078GDI7	
C07p44880.1_BnaDARv10-PA	CDY23080.1	BnaC07g31070D	A0A078G9I4	
C07p44890.1_BnaDARv10-PA	CDY23079.1	BnaC07g31080D	A0A078GCN9	
C07p44900.1_BnaDARv10-PA	CDY23078.1	BnaC07g31090D	A0A078GEP3	
C07p44910.1_BnaDARv10-PA	CDY23077.1	BnaC07g31100D	A0A078GDI2	
C07p44920.1_BnaDARv10-PA	CDY23076.1	BnaC07g31110D	A0A078GCI7	
C07p44930.1_BnaDARv10-PA	CDY23075.1	BnaC07g31120D	A0A078G9H9	
C07p44950.1_BnaDARv10-PA	CDY23073.1	BnaC07g31140D	A0A078GEN9	
C07p44970.1_BnaDARv10-PA	CDY23071.1	BnaC07g31160D	A0A078GCI5	1.-.-.-
C07p44980.1_BnaDARv10-PA	CDY23070.1	BnaC07g31170D	A0A078G9H5	
C07p44990.1_BnaDARv10-PA	CDY23069.1	BnaC07g31180D	A0A078GCN0	
C07p45010.1_BnaDARv10-PA	CDY68950.1	BnaCnng61170D	A0A078JR94	
C07p45020.1_BnaDARv10-PA	CDY64140.1	BnaCnng43250D	A0A078JD60	
C07p45030.1_BnaDARv10-PA	CDY64139.1	BnaCnng43240D	A0A078JCL8	5.1.3.1
C07p45040.1_BnaDARv10-PA	CDY64137.1	BnaCnng43230D	A0A078J9X3	
C07p45060.1_BnaDARv10-PA	CDY56944.1	BnaC07g49970D	A0A078J1E7	
C07p45090.1_BnaDARv10-PA	CDY56940.1	BnaC07g49940D	A0A078J3N4	
C07p45110.1_BnaDARv10-PA	CDY56937.1	BnaC07g49920D	A0A078J1E1	
C07p45120.1_BnaDARv10-PA	CDY56936.1	BnaC07g49910D	A0A078J168	
C07p45130.1_BnaDARv10-PA	CDY56935.1	BnaC07g49900D	A0A078IY45	
C07p45150.1_BnaDARv10-PA	CDY27936.1	BnaCnng05210D	A0A078GR88	
C07p45170.1_BnaDARv10-PA	CDY23067.1	BnaC07g31200D	A0A078GDH3	
C07p45180.1_BnaDARv10-PA	CDY23066.1	BnaC07g31210D	A0A078GCI2	
C07p45190.1_BnaDARv10-PA	CDY23065.1	BnaC07g31220D	A0A078G9H1	
C07p45200.1_BnaDARv10-PA	CDY23064.1	BnaC07g31230D	A0A078GCM7	
C07p45210.1_BnaDARv10-PA	CDY23063.1	BnaC07g31240D	A0A078GEM9	
C07p45240.1_BnaDARv10-PA	CDY23059.1	BnaC07g31280D	A0A078GCM2	
C07p45250.1_BnaDARv10-PA	CDY23058.1	BnaC07g31290D	A0A078GEM5	
C07p45260.1_BnaDARv10-PA	CDY23057.1	BnaC07g31300D	A0A078GDG4	
C07p45280.1_BnaDARv10-PA	CDY23054.1	BnaC07g31330D	A0A078GCL9	2.7.1.11
C07p45290.1_BnaDARv10-PA	CDY23053.1	BnaC07g31340D	A0A078GEM0	
C07p45300.1_BnaDARv10-PA	CDY23052.1	BnaC07g31350D	A0A078GDF8	
C07p45310.1_BnaDARv10-PA	CDY23051.1	BnaC07g31360D	A0A078GCH3	
C07p45320.1_BnaDARv10-PA	CDY23050.1	BnaC07g31370D	A0A078G9G3	
C07p45340.1_BnaDARv10-PA	CDY23049.1	BnaC07g31380D	A0A078GCL6	
C07p45350.1_BnaDARv10-PA	CDY23048.1	BnaC07g31390D	A0A078GEL6	
C07p45360.1_BnaDARv10-PA	CDY23047.1	BnaC07g31400D	A0A078GDF3	1.8.4.11
C07p45370.1_BnaDARv10-PA	CDY23046.1	BnaC07g31410D	A0A078GCH0	
C07p45390.1_BnaDARv10-PA	CDY08862.1	BnaA06g23620D	A0A078F709	
C07p45400.1_BnaDARv10-PA	CDY23045.1	BnaC07g31420D	A0A078G9F9	
C07p45450.1_BnaDARv10-PA	CDY23038.1	BnaC07g31490D	A0A078GEK6	
C07p45460.1_BnaDARv10-PA	CDY23037.1	BnaC07g31500D	A0A078GDE8	
C07p45490.1_BnaDARv10-PA	CDY23035.1	BnaC07g31520D	A0A078G9F3	
C07p45530.1_BnaDARv10-PA	CDY23033.1	BnaC07g31540D	A0A078GEK1	
C07p45540.1_BnaDARv10-PA	CDY23032.1	BnaC07g31550D	A0A078GDE3	
C07p45550.1_BnaDARv10-PA	CDY23031.1	BnaC07g31560D	A0A078GCG6	
C07p45560.1_BnaDARv10-PA	CDY23030.1	BnaC07g31570D	A0A078G9F0	
C07p45570.1_BnaDARv10-PA	CDY70622.1	BnaAnng34410D	A0A078JY83	
C07p45600.1_BnaDARv10-PA	CDY23026.1	BnaC07g31610D	A0A078GCG3	
C07p45610.1_BnaDARv10-PA	CDY23025.1	BnaC07g31620D	A0A078G9E7	
C07p45630.1_BnaDARv10-PA	CDY23023.1	BnaC07g31640D	A0A078GEJ4	
C07p45640.1_BnaDARv10-PA	CDY23022.1	BnaC07g31650D	A0A078GDD5	
C07p45650.1_BnaDARv10-PA	CDY23021.1	BnaC07g31660D	A0A078GCG0	
C07p45680.1_BnaDARv10-PA	CDY23015.1	BnaC07g31720D	A0A078G9E2	
C07p45700.1_BnaDARv10-PA	CDY23013.1	BnaC07g31740D	A0A078GEI5	
C07p45710.1_BnaDARv10-PA	CDY23012.1	BnaC07g31750D	A0A078GDB9	
C07p45720.1_BnaDARv10-PA	CDY23011.1	BnaC07g31760D	A0A078GCE7	
C07p45730.1_BnaDARv10-PA	CDY23010.1	BnaC07g31770D	A0A078G9B6	
C07p45740.1_BnaDARv10-PA	CDY23009.1	BnaC07g31780D	A0A078GCE3	
C07p45750.1_BnaDARv10-PA	CDY23008.1	BnaC07g31790D	A0A078GEF3	
C07p45770.1_BnaDARv10-PA	CDY23007.1	BnaC07g31800D	A0A078GD85	
C07p45800.1_BnaDARv10-PA	CDY23004.1	BnaC07g31830D	A0A078GCD7	2.8.2.-
C07p45820.1_BnaDARv10-PA	CDY23003.1	BnaC07g31840D	A0A078GEE8	
C07p45830.1_BnaDARv10-PA	CDY23002.1	BnaC07g31850D	A0A078GD78	
C07p45860.1_BnaDARv10-PA	CDY64371.1	BnaC07g50000D	A0A078JA89	
C07p45880.1_BnaDARv10-PA	CDY64370.1	BnaC07g49990D	A0A078JGB6	2.4.1.-
C07p45910.1_BnaDARv10-PA	CDY14731.1	BnaC05g19880D	A0A078FNL9	
C07p45920.1_BnaDARv10-PA	CDY70802.1	BnaCnng69860D	A0A078JYT3	
C07p45940.1_BnaDARv10-PA	CDY28982.1	BnaC07g31880D	A0A078GV32	
C07p45970.1_BnaDARv10-PA	CDY28983.1	BnaC07g31890D	A0A078GWI6	
C07p46000.1_BnaDARv10-PA	CDY28986.1	BnaC07g31920D	A0A078GU00	
C07p46020.1_BnaDARv10-PA	CDY28988.1	BnaC07g31940D	A0A078GWJ2	
C07p46030.1_BnaDARv10-PA	CDY28989.1	BnaC07g31950D	A0A078GV24	
C07p46050.1_BnaDARv10-PA	CDY28991.1	BnaC07g31970D	A0A078GU08	
C07p46070.1_BnaDARv10-PA	CDY28992.1	BnaC07g31980D	A0A078GV43	
C07p46080.1_BnaDARv10-PA	CDY28993.1	BnaC07g31990D	A0A078GWJ6	
C07p46090.1_BnaDARv10-PA	CDY28994.1	BnaC07g32000D	A0A078GV27	
C07p46100.1_BnaDARv10-PA	CDY28995.1	BnaC07g32010D	A0A078GR36	
C07p46120.1_BnaDARv10-PA	CDY28997.1	BnaC07g32030D	A0A078GV46	
C07p46130.1_BnaDARv10-PA	CDY28998.1	BnaC07g32040D	A0A078GWK0	
C07p46150.1_BnaDARv10-PA	CDY28999.1	BnaC07g32050D	A0A078GV33	
C07p46160.1_BnaDARv10-PA	CDY29000.1	BnaC07g32060D	A0A078GR43	
C07p46170.1_BnaDARv10-PA	CDY29001.1	BnaC07g32070D	A0A078GU20	
C07p46200.1_BnaDARv10-PA	CDY29004.1	BnaC07g32100D	A0A078GV40	
C07p46210.1_BnaDARv10-PA	CDY29005.1	BnaC07g32110D	A0A078GR52	4.2.1.47
C07p46220.1_BnaDARv10-PA	CDY29006.1	BnaC07g32120D	A0A078GU27	
C07p46230.1_BnaDARv10-PA	CDY29007.1	BnaC07g32130D	A0A078GV60	
C07p46250.1_BnaDARv10-PA	CDY29009.1	BnaC07g32150D	A0A078GV44	
C07p46260.1_BnaDARv10-PA	CDY29010.1	BnaC07g32160D	A0A078GR62	2.7.11.1
C07p46280.1_BnaDARv10-PA	CDY29013.1	BnaC07g32190D	A0A078GWP6	
C07p46290.1_BnaDARv10-PA	CDY29014.1	BnaC07g32200D	A0A078GV64	
C07p46310.1_BnaDARv10-PA	CDY29016.1	BnaC07g32220D	A0A078GU53	
C07p46320.1_BnaDARv10-PA	CDY29017.1	BnaC07g32230D	A0A078GV90	
C07p46330.1_BnaDARv10-PA	CDY29019.1	BnaC07g32250D	A0A078GV66	
C07p46350.1_BnaDARv10-PA	CDY29021.1	BnaC07g32270D	A0A078GU55	2.3.1.-
C07p46370.1_BnaDARv10-PA	CDY29023.1	BnaC07g32290D	A0A078GWR3	
C07p46400.1_BnaDARv10-PA	CDY29026.1	BnaC07g32320D	A0A078GU58	
C07p46430.1_BnaDARv10-PA	CDY29028.1	BnaC07g32340D	A0A078GWR6	
C07p46440.1_BnaDARv10-PA	CDY29029.1	BnaC07g32350D	A0A078GV84	
C07p46460.1_BnaDARv10-PA	CDY29033.1	BnaC07g32390D	A0A078GWS2	
C07p46470.1_BnaDARv10-PA	CDY21987.1	BnaC09g00930D	A0A078GAF8	
C07p46510.1_BnaDARv10-PA	CDY29037.1	BnaC07g32430D	A0A078GVA4	
C07p46520.1_BnaDARv10-PA	CDY29038.1	BnaC07g32440D	A0A078GWS6	
C07p46530.1_BnaDARv10-PA	CDY29039.1	BnaC07g32450D	A0A078GV91	
C07p46550.1_BnaDARv10-PA	CDY29041.1	BnaC07g32470D	A0A078GU68	
C07p46560.1_BnaDARv10-PA	CDY29042.1	BnaC07g32480D	A0A078GVB1	
C07p46570.1_BnaDARv10-PA	CDY29043.1	BnaC07g32490D	A0A078GWT2	
C07p46580.1_BnaDARv10-PA	CDY29044.1	BnaC07g32500D	A0A078GV95	
C07p46590.1_BnaDARv10-PA	CDY29045.1	BnaC07g32510D	A0A078GRD0	
C07p46600.1_BnaDARv10-PA	CDY29046.1	BnaC07g32520D	A0A078GU70	
C07p46610.1_BnaDARv10-PA	CDY29047.1	BnaC07g32530D	A0A078GVB6	
C07p46630.1_BnaDARv10-PA	CDY29049.1	BnaC07g32550D	A0A078GV96	
C07p46640.1_BnaDARv10-PA	CDY29050.1	BnaC07g32560D	A0A078GRD5	
C07p46700.1_BnaDARv10-PA	CDY29054.1	BnaC07g32600D	A0A078GVA1	
C07p46710.1_BnaDARv10-PA	CDY29055.1	BnaC07g32610D	A0A078GRE0	
C07p46720.1_BnaDARv10-PA	CDY29056.1	BnaC07g32620D	A0A078GU76	
C07p46730.1_BnaDARv10-PA	CDY29058.1	BnaC07g32640D	A0A078GWU6	
C07p46740.1_BnaDARv10-PA	CDY29059.1	BnaC07g32650D	A0A078GVA5	
C07p46750.1_BnaDARv10-PA	CDY29060.1	BnaC07g32660D	A0A078GRE4	
C07p46760.1_BnaDARv10-PA	CDY29061.1	BnaC07g32670D	A0A078GU78	5.2.1.8
C07p46770.1_BnaDARv10-PA	CDY29062.1	BnaC07g32680D	A0A078GVC6	
C07p46790.1_BnaDARv10-PA	CDY29063.1	BnaC07g32690D	A0A078GWV0	
C07p46800.1_BnaDARv10-PA	CDY29064.1	BnaC07g32700D	A0A078GVB0	
C07p46810.1_BnaDARv10-PA	CDY29065.1	BnaC07g32710D	A0A078GRF0	
C07p46820.1_BnaDARv10-PA	CDY29066.1	BnaC07g32720D	A0A078GU81	
C07p46830.1_BnaDARv10-PA	CDY29067.1	BnaC07g32730D	A0A078GVC9	2.3.1.-
C07p46850.1_BnaDARv10-PA	CDY29070.1	BnaC07g32760D	A0A078GRF6	
C07p46880.1_BnaDARv10-PA	CDY29073.1	BnaC07g32790D	A0A078GWV9	
C07p46890.1_BnaDARv10-PA	CDY29074.1	BnaC07g32800D	A0A078GVB7	
C07p46900.1_BnaDARv10-PA	CDY29075.1	BnaC07g32810D	A0A078GRG0	
C07p46910.1_BnaDARv10-PA	CDY29076.1	BnaC07g32820D	A0A078GU88	
C07p46930.1_BnaDARv10-PA	CDY29078.1	BnaC07g32840D	A0A078GWW3	
C07p46940.1_BnaDARv10-PA	CDY29079.1	BnaC07g32850D	A0A078GVC2	
C07p46960.1_BnaDARv10-PA	CDY29082.1	BnaC07g32880D	A0A078GVE1	
C07p46980.1_BnaDARv10-PA	CDY29083.1	BnaC07g32890D	A0A078GWW6	
C07p46990.1_BnaDARv10-PA	CDY29084.1	BnaC07g32900D	A0A078GVC8	
C07p47000.1_BnaDARv10-PA	CDY29085.1	BnaC07g32910D	A0A078GRG9	
C07p47010.1_BnaDARv10-PA	CDY65556.1	BnaCnng47670D	A0A078JIF9	
C07p47050.1_BnaDARv10-PA	CDY63358.1	BnaC07g50010D	A0A078JBC4	
C07p47100.1_BnaDARv10-PA	CDY09768.1	BnaC07g32930D	A0A078FCJ4	
C07p47110.1_BnaDARv10-PA	CDY09767.1	BnaC07g32940D	A0A078F9K5	
C07p47130.1_BnaDARv10-PA	CDY09765.1	BnaC07g32960D	A0A078F5P0	
C07p47160.1_BnaDARv10-PA	CDY09761.1	BnaC07g33000D	A0A078F8T4	
C07p47170.1_BnaDARv10-PA	CDY09760.1	BnaC07g33010D	A0A078F5N4	
C07p47190.1_BnaDARv10-PA	CDY09758.1	BnaC07g33030D	A0A078FCI5	2.4.1.-
C07p47220.1_BnaDARv10-PA	CDY09753.1	BnaC07g33080D	A0A078FCI0	
C07p47230.1_BnaDARv10-PA	CDY09752.1	BnaC07g33090D	A0A078F9J6	2.2.1.7
C07p47240.1_BnaDARv10-PA	CDY09751.1	BnaC07g33100D	A0A078F8S8	
C07p47250.1_BnaDARv10-PA	CDY09749.1	BnaC07g33120D	A0A078F9Q4	
C07p47260.1_BnaDARv10-PA	CDY09748.1	BnaC07g33130D	A0A078FCH6	
C07p47270.1_BnaDARv10-PA	CDY09747.1	BnaC07g33140D	A0A078F9J2	
C07p47280.1_BnaDARv10-PA	CDY70002.1	BnaCnng66290D	A0A078JWQ3	
C07p47310.1_BnaDARv10-PA	CDY09744.1	BnaC07g33170D	A0A078F9P7	
C07p47330.1_BnaDARv10-PA	CDY66776.1	BnaCnng52330D	A0A078JLZ6	
C07p47340.1_BnaDARv10-PA	CDY66775.1	BnaCnng52320D	A0A078JK35	
C07p47350.1_BnaDARv10-PA	CDY66774.1	BnaCnng52310D	A0A078JJC7	
C07p47360.1_BnaDARv10-PA	CDY72474.1	BnaCnng77840D	A0A078K0L3	
C07p47370.1_BnaDARv10-PA	CDY09743.1	BnaC07g33180D	A0A078FCH2	
C07p47390.1_BnaDARv10-PA	CDY09741.1	BnaC07g33200D	A0A078F8S2	
C07p47400.1_BnaDARv10-PA	CDY09740.1	BnaC07g33210D	A0A078F5L4	
C07p47420.1_BnaDARv10-PA	CDY09737.1	BnaC07g33240D	A0A078F9I5	
C07p47430.1_BnaDARv10-PA	CDY09736.1	BnaC07g33250D	A0A078F8R5	
C07p47440.1_BnaDARv10-PA	CDY09735.1	BnaC07g33260D	A0A078F5K9	
C07p47460.1_BnaDARv10-PA	CDY09733.1	BnaC07g33280D	A0A078FCG4	1.1.1.100
C07p47500.1_BnaDARv10-PA	CDY09730.1	BnaC07g33310D	A0A078F5K3	
C07p47510.1_BnaDARv10-PA	CDY09729.1	BnaC07g33320D	A0A078F9N4	
C07p47520.1_BnaDARv10-PA	CDY09728.1	BnaC07g33330D	A0A078FCF9	
C07p47530.1_BnaDARv10-PA	CDY09727.1	BnaC07g33340D	A0A078F9H7	
C07p47580.1_BnaDARv10-PA	CDY09724.1	BnaC07g33370D	A0A078F9M9	
C07p47600.1_BnaDARv10-PA	CDY09722.1	BnaC07g33390D	A0A078F9H1	
C07p47610.1_BnaDARv10-PA	CDY09721.1	BnaC07g33400D	A0A078F8Q1	3.6.1.13; 3.6.1.22
C07p47620.1_BnaDARv10-PA	CDY09720.1	BnaC07g33410D	A0A078F5J2	
C07p47640.1_BnaDARv10-PA	CDY09719.1	BnaC07g33420D	A0A078F9M4	
